"id_supplier","supplier_name","supplier_description","date_signed_contract","supplier_int","supplier_float"
1,"Постачальник №1","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-09-28,415,0.56
2,"Постачальник №2","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2016-11-15,463,0.23
3,"Постачальник №3","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-02-05,179,1.56
4,"Постачальник №4","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2011-06-10,526,0.07
5,"Постачальник №5","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2021-09-30,195,0.13
6,"Постачальник №6","Відомий постачальник зоотоварів широкого використання.",2018-03-05,938,1.72
7,"Постачальник №7","Постачальник товарів люкс-класу.",2015-01-16,1842,0.46
8,"Постачальник №8","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-02-15,1142,1.27
9,"Постачальник №9","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2019-03-25,1323,0.69
10,"Постачальник №10","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2019-06-08,1253,0.45
11,"Постачальник №11","Відомий постачальник зоотоварів широкого використання.",2023-01-13,1268,1.22
12,"Постачальник №12","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2014-06-15,1038,0.36
13,"Постачальник №13","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2017-07-19,1398,0.4
14,"Постачальник №14","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-08-10,665,0.11
15,"Постачальник №15","Постачальник товарів люкс-класу.",2022-03-02,602,0.56
16,"Постачальник №16","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-10-13,1627,1.79
17,"Постачальник №17","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2015-07-06,1792,0.5
18,"Постачальник №18","Відомий постачальник зоотоварів широкого використання.",2017-11-27,709,1.97
19,"Постачальник №19","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2017-01-10,1011,0.7
20,"Постачальник №20","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2013-12-20,1115,0.47
21,"Постачальник №21","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2014-11-25,953,1.07
22,"Постачальник №22","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2021-10-16,348,0.22
23,"Постачальник №23","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2018-02-27,1017,1.03
24,"Постачальник №24","Постачальник товарів люкс-класу.",2014-06-02,1673,0.73
25,"Постачальник №25","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2011-07-09,1379,0.63
26,"Постачальник №26","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-03-27,840,1.69
27,"Постачальник №27","Відомий постачальник зоотоварів широкого використання.",2013-03-12,26,0.84
28,"Постачальник №28","Постачальник товарів люкс-класу.",2017-02-04,519,0.15
29,"Постачальник №29","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2016-12-12,1450,1.14
30,"Постачальник №30","Відомий постачальник зоотоварів широкого використання.",2014-12-04,1673,1.25
31,"Постачальник №31","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-06-23,1790,0.43
32,"Постачальник №32","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2012-11-12,211,0.3
33,"Постачальник №33","Даний постачальник зарекомендував себе як надійний постачальник товарів для наших улюбленців.",2018-03-23,932,0.9
34,"Постачальник №34","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2022-01-22,1614,0.88
35,"Постачальник №35","Постачальник товарів люкс-класу.",2018-10-12,593,0.82
36,"Постачальник №36","Відомий постачальник зоотоварів широкого використання.",2020-12-08,555,0.69
37,"Постачальник №37","Відомий постачальник зоотоварів широкого використання.",2010-06-15,1895,0.55
38,"Постачальник №38","Постачальник, який ставить для себе якість поставлених товарів як пріоритет.",2010-08-05,373,0.06
39,"Постачальник №39","Поставки товарів даного постачальника вирізняються якістю та стабільністю вже протягом десятків років.",2013-08-06,844,0.31
